"metabolites";"genes";"value"
"methylphosphate";"bhp";-0.00804481156705524
"dimethylarginine..ADMA...SDMA.";"bhp";0.22850688174508
"N.methylalanine";"bhp";0.0220804402585133
"gamma.glutamylalanine";"bhp";0.346269229790484
"N.acetylserine";"bhp";0.0931144147335755
"X1.stearoyl.2.oleoyl.GPE..18.0.18.1.";"bhp";0.0244767671082744
"N.arachidoyl.sphingosine..d18.1.20.0..";"bhp";-0.479442113789255
"X1.stearoyl.2.arachidonoyl.GPC..18.0.20.4.";"bhp";0.0163588744469594
"X1.palmitoyl.2.linoleoyl.GPE..16.0.18.2.";"bhp";0.25782820310283
"alanylleucine";"bhp";0.301766016866349
"succinylcarnitine..C4.DC.";"bhp";0.463346913021671
"bilirubin..E.E..";"bhp";0.569469959225378
"N.methylproline";"bhp";-0.0527030911013359
"alpha.tocotrienol";"bhp";-0.194925495111291
"gamma.tocotrienol";"bhp";0.273327941111071
"taurocholenate.sulfate.";"bhp";-0.0973935698224347
"X21.hydroxypregnenolone.disulfate";"bhp";0.0679529828110836
"X5alpha.pregnan.3beta.20beta.diol.monosulfate..1.";"bhp";-0.0936279133442386
"X5alpha.pregnan.3beta.ol.20.one.sulfate";"bhp";-0.389518454273056
"X2.hydroxyglutarate";"bhp";-0.00907180878838144
"norvaline";"bhp";0.0104411384168164
"N.acetyl.beta.alanine";"bhp";-0.230694091919255
"sphingomyelin..d18.1.18.1..d18.2.18.0.";"bhp";-0.472932220420715
"palmitoyl.sphingomyelin..d18.1.16.0.";"bhp";-0.256920471535104
"pregnenolone.sulfate";"bhp";0.0909170404695793
"N1.N12.diacetylspermine";"bhp";-0.204372447043914
"ergothioneine";"bhp";0.439041312116951
"indole.3.carboxylate";"bhp";-0.25007382339293
"X13.HODE...9.HODE";"bhp";0.433735159806765
"X4.cholesten.3.one";"bhp";0.219606239160253
"N.acetyl.cadaverine";"bhp";0.4504998661728
"stearoyl.ethanolamide";"bhp";-0.235362235498662
"X2S.3R.dihydroxybutyrate";"bhp";0.279343244200727
"oleanolate";"bhp";-0.0480977031987771
"S.carboxymethyl.L.cysteine";"bhp";0.0508363624556469
"X.16.or.17..methylstearate..a19.0.or.i19.0.";"bhp";0.55543433053392
"X2R.3R.dihydroxybutyrate";"bhp";-0.0602505036511371
"alpha.ketoglutaramate.";"bhp";-0.116396389389622
"piperidine";"bhp";-0.268856601908878
"X2.3.dihydroxyisovalerate";"bhp";0.229533878966406
"X3.methylglutaconate";"bhp";0.0515367781192907
"cysteinylglycine.disulfide.";"bhp";0.0188282823909803
"formiminoglutamate";"bhp";-0.395610686233013
"hydantoin.5.propionate";"bhp";-0.362130250142239
"sulfate.";"bhp";0.47156289079228
"X4.hydroxyglutamate";"bhp";0.441432664395962
"cortolone";"bhp";-0.140869785525244
"L.urobilin";"bhp";-0.0450167115347985
"D.urobilin";"bhp";-0.0505094669275441
"pantoate";"bhp";0.0719447881436958
"sedoheptulose";"bhp";0.13889682753268
"gamma.carboxyglutamate";"bhp";-0.12700532303734
"X8.hydroxyguanine";"bhp";0.00838778477669951
"S.methylcysteine";"bhp";-0.242421316742138
"argininate.";"bhp";0.176399326301346
"X2.oxoarginine.";"bhp";0.0476570747756561
"cis.4.decenoate..10.1n6..";"bhp";-0.120843339709383
"X1.lignoceroyl.GPC..24.0.";"bhp";0.320771367750618
"X1..1.enyl.palmitoyl..GPC..P.16.0..";"bhp";-0.172364366979247
"X1.methyl.5.imidazoleacetate";"bhp";-0.253497147464017
"tauroursodeoxycholate";"bhp";0.0364584013570801
"X3..4.hydroxyphenyl.propionate";"bhp";-0.315288146947144
"X16.hydroxypalmitate";"bhp";-0.325928463695162
"X1..1.enyl.palmitoyl..GPE..P.16.0..";"bhp";0.0613713408981471
"X1..1.enyl.stearoyl..GPE..P.18.0..";"bhp";-0.0152337921163386
"X2.oxindole.3.acetate";"bhp";-0.15106571562117
"N.oleoyltaurine";"bhp";-0.277139256193398
"linoleoylcarnitine..C18.2..";"bhp";-0.147031768853201
"N.methyl.GABA";"bhp";-0.421885111593128
"glutaminylleucine";"bhp";-0.47034026090749
"isoleucylglycine";"bhp";-0.414564545008676
"leucylalanine";"bhp";-0.409057509731299
"leucylglutamine.";"bhp";0.193250550549839
"leucylglycine";"bhp";0.345942362939835
"lysylleucine";"bhp";-0.0900334230695969
"N.palmitoyltaurine";"bhp";-0.130599813311982
"N.stearoyltaurine";"bhp";0.356196869596637
"X2.O.methylascorbic.acid";"bhp";-0.216867579903383
"carboxyethyl.GABA";"bhp";0.00649052019316482
"hydroxymethylpyrimidine";"bhp";-0.436473819063635
"trimethylamine.N.oxide";"bhp";-0.0229362712762851
"X3..sialyllactose";"bhp";0.349577127596282
"N6.methyllysine";"bhp";-0.295261701131283
"cis.urocanate";"bhp";0.223989867191348
"dihydroferulate";"bhp";-0.473653070961787
"imidazole.propionate";"bhp";-0.407954314970664
"tyrosol";"bhp";-0.489618585666323
"phenylalanylglycine";"bhp";-0.23792102294057
"phenylalanylalanine";"bhp";-0.148696398349587
"tryptophylglycine";"bhp";0.414906877415785
"valylglycine";"bhp";0.00599081712440284
"prolylglycine";"bhp";-0.000342332407108733
"N.palmitoylglycine";"bhp";0.128531392642182
"mannonate.";"bhp";0.282253069661151
"X2.stearoyl.GPE..18.0..";"bhp";-0.226624053505982
"nicotianamine";"bhp";-0.0260997054398391
"margaroylcarnitine..C17..";"bhp";0.0926009161229124
"histidine.betaine..hercynine..";"bhp";0.379162107763049
"glycohyocholate";"bhp";0.0164319555412192
"taurohyocholate.";"bhp";0.182120385532741
"X3b.hydroxy.5.cholenoic.acid";"bhp";-0.394366932989261
"pterin";"bhp";-0.184688333635162
"dimethylmalonic.acid";"bhp";0.0917450851051406
"X2.piperidinone";"bhp";0.213101923425187
"N.acetyl.1.methylhistidine.";"bhp";-0.0306387504362316
"indolin.2.one";"bhp";-0.0948260767691192
"X1.stearoyl.GPS..18.0..";"bhp";-0.222167800152507
"sphingomyelin..d18.1.14.0..d16.1.16.0..";"bhp";0.170310372536595
"sphingomyelin..d18.2.16.0..d18.1.16.1..";"bhp";-0.537674122114554
"N.monomethylarginine";"bhp";-0.269999614286541
"X6.oxopiperidine.2.carboxylate";"bhp";0.0734303013248233
"N.delta.acetylornithine";"bhp";-0.364412847367247
"acisoga";"bhp";0.0884929272376076
"N.formylanthranilic.acid";"bhp";0.339251415444755
"N2.N5.diacetylornithine";"bhp";0.446570099938438
"methionine.sulfone";"bhp";-0.190679150759565
"X1.methylhypoxanthine";"bhp";-0.0412510550566024
"coprostanol";"bhp";-0.0695999005716416
"X1..1.enyl.oleoyl..GPE..P.18.1..";"bhp";-0.0467283735703421
"fructosyllysine";"bhp";-0.448061768428795
"O.sulfo.L.tyrosine";"bhp";0.194742578939372
