"root";"kingdom";"phylum";"class";"order";"family";"genus";"species";"abond34";"piglet";"group";"abund"
"root";"Bacteria";"Firmicutes";"Erysipelotrichia";"Erysipelotrichales";"Erysipelotrichaceae";"Faecalicoccus";"Faecalicoccus pleomorphus";2.50963904378324e-05;"1";"Control";5.25927571884438e-06
"root";"Bacteria";"Firmicutes";"Erysipelotrichia";"Erysipelotrichales";"Erysipelotrichaceae";"Faecalicoccus";"None";0.00400471959766057;"1";"Control";4.82100274227401e-05
"root";"Bacteria";"Firmicutes";"Erysipelotrichia";"Erysipelotrichales";"Erysipelotrichaceae";"Holdemanella";"None";4.05971021788465e-06;"1";"Control";0.000152518995846487
"root";"Bacteria";"Firmicutes";"Erysipelotrichia";"Erysipelotrichales";"Erysipelotrichaceae";"None";"Erysipelotrichaceae bacterium";0.00174346100629882;"1";"Control";0.000843237206921382
"root";"Bacteria";"Firmicutes";"Erysipelotrichia";"Erysipelotrichales";"Erysipelotrichaceae";"None";"None";0.000656934926166788;"1";"Control";0.000315556543130663
"root";"Bacteria";"Firmicutes";"Erysipelotrichia";"Erysipelotrichales";"None";"None";"None";0.000293406329383481;"1";"Control";3.2432200266207e-05
"root";"Bacteria";"Firmicutes";"Erysipelotrichia";"Erysipelotrichales";"Turicibacteraceae";"Turicibacter";"None";2.21438739157344e-06;"1";"Control";0.000454050803726898
"root";"Bacteria";"Firmicutes";"Erysipelotrichia";"Erysipelotrichales";"Turicibacteraceae";"Turicibacter";"Turicibacter sanguinis";0.00568322524047324;"1";"Control";0.00051628556639989
"root";"Bacteria";"Firmicutes";"Negativicutes";"Acidaminococcales";"Acidaminococcaceae";"None";"None";0;"1";"Control";2.62963785942219e-05
"root";"Bacteria";"Firmicutes";"Negativicutes";"Acidaminococcales";"Acidaminococcaceae";"Phascolarctobacterium";"None";0;"1";"Control";0.00175966600093002
"root";"Bacteria";"Firmicutes";"Negativicutes";"Acidaminococcales";"Acidaminococcaceae";"Phascolarctobacterium";"Phascolarctobacterium succinatutens";5.16690391367137e-06;"1";"Control";0.000256389691293663
"root";"Bacteria";"Firmicutes";"Negativicutes";"Selenomonadales";"Selenomonadaceae";"Mitsuokella";"None";0;"1";"Control";4.82100274227401e-06
"root";"Bacteria";"Firmicutes";"Negativicutes";"Selenomonadales";"Selenomonadaceae";"None";"None";3.54301982651751e-05;"1";"Control";1.00802784611184e-05
"root";"Bacteria";"Firmicutes";"Negativicutes";"Veillonellales";"Veillonellaceae";"Dialister";"None";0;"1";"Control";5.69754869541474e-06
"root";"Bacteria";"Firmicutes";"Negativicutes";"Veillonellales";"Veillonellaceae";"Veillonella";"Veillonella caviae";0.000241737290246768;"1";"Control";0.00873171251221138
"root";"Bacteria";"Firmicutes";"None";"None";"None";"Candidatus Enteromonas";"None";0;"1";"Control";4.38272976570365e-06
"root";"Bacteria";"Firmicutes";"None";"None";"None";"None";"Firmicutes bacterium";0.000691626995301439;"1";"Control";0.000190648744808109
